County,FIPS,fips,Last_Update,Lat,Long_,Confirmed,Deaths,Date
Appling,13001,13001,3/22/20 23:45,31.74847232,-82.28909114,0.0,0.0,2020-03-22
Atkinson,13003,13003,3/22/20 23:45,31.29633502,-82.87545866,0.0,0.0,2020-03-22
Bacon,13005,13005,3/22/20 23:45,31.55456473,-82.45936528,0.0,0.0,2020-03-22
Baker,13007,13007,3/22/20 23:45,31.32669878,-84.44218806,0.0,0.0,2020-03-22
Baldwin,13009,13009,3/22/20 23:45,33.06882326,-83.24701748,2.0,0.0,2020-03-22
Banks,13011,13011,3/22/20 23:45,34.35607081,-83.49644388,0.0,0.0,2020-03-22
Barrow,13013,13013,3/22/20 23:45,33.99148694,-83.71436292,1.0,0.0,2020-03-22
Bartow,13015,13015,3/22/20 23:45,34.23732119,-84.83887523,56.0,1.0,2020-03-22
Ben Hill,13017,13017,3/22/20 23:45,31.76095874,-83.22145359,0.0,0.0,2020-03-22
Berrien,13019,13019,3/22/20 23:45,31.27590016,-83.22529920000001,0.0,0.0,2020-03-22
Bibb,13021,13021,3/22/20 23:45,32.80904227,-83.70489165,1.0,0.0,2020-03-22
Bleckley,13023,13023,3/22/20 23:45,32.43829035,-83.33035166,0.0,0.0,2020-03-22
Brantley,13025,13025,3/22/20 23:45,31.19576557,-81.97743999,0.0,0.0,2020-03-22
Brooks,13027,13027,3/22/20 23:45,30.83922642,-83.58303423,0.0,0.0,2020-03-22
Bryan,13029,13029,3/22/20 23:45,32.00979311,-81.44002948,0.0,0.0,2020-03-22
Bulloch,13031,13031,3/22/20 23:45,32.39577406,-81.74811421,0.0,0.0,2020-03-22
Burke,13033,13033,3/22/20 23:45,33.05917989,-81.99928721,0.0,0.0,2020-03-22
Butts,13035,13035,3/22/20 23:45,33.283094500000004,-83.95435040000001,1.0,0.0,2020-03-22
Calhoun,13037,13037,3/22/20 23:45,31.53169785,-84.62725131,0.0,0.0,2020-03-22
Camden,13039,13039,3/22/20 23:45,30.92951916,-81.66601818,0.0,0.0,2020-03-22
Candler,13043,13043,3/22/20 23:45,32.40209349,-82.07702563,0.0,0.0,2020-03-22
Carroll,13045,13045,3/22/20 23:45,33.58138199,-85.07976677,16.0,0.0,2020-03-22
Catoosa,13047,13047,3/22/20 23:45,34.89872298,-85.13757014,0.0,0.0,2020-03-22
Charlton,13049,13049,3/22/20 23:45,30.78371028,-82.13951596,1.0,0.0,2020-03-22
Chatham,13051,13051,3/22/20 23:45,32.00043026,-81.12489526,4.0,0.0,2020-03-22
Chattahoochee,13053,13053,3/22/20 23:45,32.34341231,-84.78809239,0.0,0.0,2020-03-22
Chattooga,13055,13055,3/22/20 23:45,34.47197698,-85.34535662,1.0,0.0,2020-03-22
Cherokee,13057,13057,3/22/20 23:45,34.24393976,-84.47431861,18.0,0.0,2020-03-22
Clarke,13059,13059,3/22/20 23:45,33.95436462,-83.37124007,9.0,0.0,2020-03-22
Clay,13061,13061,3/22/20 23:45,31.62221166,-84.97713865,0.0,0.0,2020-03-22
Clayton,13063,13063,3/22/20 23:45,33.54187245,-84.35594188,13.0,0.0,2020-03-22
Clinch,13065,13065,3/22/20 23:45,30.91395822,-82.70432472,1.0,0.0,2020-03-22
Cobb,13067,13067,3/22/20 23:45,33.94243204,-84.5761255,67.0,2.0,2020-03-22
Coffee,13069,13069,3/22/20 23:45,31.54892966,-82.85492059999999,0.0,0.0,2020-03-22
