County,fips,Lat,Long_,Day,Date,Confirmed,Deaths,Fatality_Rate,nConfirmed_Change,nDeaths_Change,pConfirmed_Change,pDeaths_Change
Appling,13001,31.74847232,-82.28909114,19,2020-03-22,0,0,0.0,0,0,0.0,0.0
Appling,13001,31.74847232,-82.28909114,20,2020-03-23,0,0,0.0,0,0,0.0,0.0
Appling,13001,31.74847232,-82.28909114,21,2020-03-24,0,0,0.0,0,0,0.0,0.0
Appling,13001,31.74847232,-82.28909114,22,2020-03-25,1,0,0.0,1,0,0.0,0.0
Appling,13001,31.74847232,-82.28909114,23,2020-03-26,0,0,0.0,-1,0,-100.0,0.0
Appling,13001,31.74847232,-82.28909114,24,2020-03-27,0,0,0.0,0,0,0.0,0.0
Appling,13001,31.74847232,-82.28909114,25,2020-03-28,0,0,0.0,0,0,0.0,0.0
Appling,13001,31.74847232,-82.28909114,26,2020-03-29,0,0,0.0,0,0,0.0,0.0
Appling,13001,31.74847232,-82.28909114,27,2020-03-30,0,0,0.0,0,0,0.0,0.0
Atkinson,13003,31.29633502,-82.87545866,19,2020-03-22,0,0,0.0,0,0,0.0,0.0
Atkinson,13003,31.29633502,-82.87545866,20,2020-03-23,0,0,0.0,0,0,0.0,0.0
Atkinson,13003,31.29633502,-82.87545866,21,2020-03-24,0,0,0.0,0,0,0.0,0.0
Atkinson,13003,31.29633502,-82.87545866,22,2020-03-25,0,0,0.0,0,0,0.0,0.0
Atkinson,13003,31.29633502,-82.87545866,23,2020-03-26,0,0,0.0,0,0,0.0,0.0
Atkinson,13003,31.29633502,-82.87545866,24,2020-03-27,0,0,0.0,0,0,0.0,0.0
Atkinson,13003,31.29633502,-82.87545866,25,2020-03-28,0,0,0.0,0,0,0.0,0.0
Atkinson,13003,31.29633502,-82.87545866,26,2020-03-29,0,0,0.0,0,0,0.0,0.0
Atkinson,13003,31.29633502,-82.87545866,27,2020-03-30,0,0,0.0,0,0,0.0,0.0
Bacon,13005,31.55456473,-82.45936528,19,2020-03-22,0,0,0.0,0,0,0.0,0.0
Bacon,13005,31.55456473,-82.45936528,20,2020-03-23,0,0,0.0,0,0,0.0,0.0
Bacon,13005,31.55456473,-82.45936528,21,2020-03-24,0,0,0.0,0,0,0.0,0.0
Bacon,13005,31.55456473,-82.45936528,22,2020-03-25,0,0,0.0,0,0,0.0,0.0
Bacon,13005,31.55456473,-82.45936528,23,2020-03-26,0,0,0.0,0,0,0.0,0.0
Bacon,13005,31.55456473,-82.45936528,24,2020-03-27,0,0,0.0,0,0,0.0,0.0
Bacon,13005,31.55456473,-82.45936528,25,2020-03-28,0,0,0.0,0,0,0.0,0.0
Bacon,13005,31.55456473,-82.45936528,26,2020-03-29,1,0,0.0,1,0,0.0,0.0
Bacon,13005,31.55456473,-82.45936528,27,2020-03-30,1,0,0.0,0,0,0.0,0.0
Baker,13007,31.32669878,-84.44218806,19,2020-03-22,0,0,0.0,0,0,0.0,0.0
Baker,13007,31.32669878,-84.44218806,20,2020-03-23,0,0,0.0,0,0,0.0,0.0
Baker,13007,31.32669878,-84.44218806,21,2020-03-24,2,0,0.0,2,0,0.0,0.0
Baker,13007,31.32669878,-84.44218806,22,2020-03-25,3,0,0.0,1,0,50.0,0.0
Baker,13007,31.32669878,-84.44218806,23,2020-03-26,1,0,0.0,-2,0,-66.67,0.0
Baker,13007,31.32669878,-84.44218806,24,2020-03-27,1,0,0.0,0,0,0.0,0.0
Baker,13007,31.32669878,-84.44218806,25,2020-03-28,1,1,100.0,0,1,0.0,0.0
Baker,13007,31.32669878,-84.44218806,26,2020-03-29,1,1,100.0,0,0,0.0,0.0
Baker,13007,31.32669878,-84.44218806,27,2020-03-30,1,1,100.0,0,0,0.0,0.0
Baldwin,13009,33.06882326,-83.24701748,19,2020-03-22,2,0,0.0,0,0,0.0,0.0
Baldwin,13009,33.06882326,-83.24701748,20,2020-03-23,2,0,0.0,0,0,0.0,0.0
Baldwin,13009,33.06882326,-83.24701748,21,2020-03-24,2,0,0.0,0,0,0.0,0.0
Baldwin,13009,33.06882326,-83.24701748,22,2020-03-25,2,0,0.0,0,0,0.0,0.0
Baldwin,13009,33.06882326,-83.24701748,23,2020-03-26,2,0,0.0,0,0,0.0,0.0
Baldwin,13009,33.06882326,-83.24701748,24,2020-03-27,2,0,0.0,0,0,0.0,0.0
Baldwin,13009,33.06882326,-83.24701748,25,2020-03-28,2,0,0.0,0,0,0.0,0.0
Baldwin,13009,33.06882326,-83.24701748,26,2020-03-29,2,0,0.0,0,0,0.0,0.0
Baldwin,13009,33.06882326,-83.24701748,27,2020-03-30,3,0,0.0,1,0,50.0,0.0
Banks,13011,34.35607081,-83.49644388,19,2020-03-22,0,0,0.0,0,0,0.0,0.0
Banks,13011,34.35607081,-83.49644388,20,2020-03-23,0,0,0.0,0,0,0.0,0.0
Banks,13011,34.35607081,-83.49644388,21,2020-03-24,0,0,0.0,0,0,0.0,0.0
Banks,13011,34.35607081,-83.49644388,22,2020-03-25,0,0,0.0,0,0,0.0,0.0
Banks,13011,34.35607081,-83.49644388,23,2020-03-26,0,0,0.0,0,0,0.0,0.0
Banks,13011,34.35607081,-83.49644388,24,2020-03-27,0,0,0.0,0,0,0.0,0.0
Banks,13011,34.35607081,-83.49644388,25,2020-03-28,0,0,0.0,0,0,0.0,0.0
Banks,13011,34.35607081,-83.49644388,26,2020-03-29,0,0,0.0,0,0,0.0,0.0
Banks,13011,34.35607081,-83.49644388,27,2020-03-30,1,0,0.0,1,0,0.0,0.0
Barrow,13013,33.99148694,-83.71436292,19,2020-03-22,1,0,0.0,0,0,0.0,0.0
Barrow,13013,33.99148694,-83.71436292,20,2020-03-23,1,0,0.0,0,0,0.0,0.0
Barrow,13013,33.99148694,-83.71436292,21,2020-03-24,1,0,0.0,0,0,0.0,0.0
Barrow,13013,33.99148694,-83.71436292,22,2020-03-25,2,0,0.0,1,0,100.0,0.0
Barrow,13013,33.99148694,-83.71436292,23,2020-03-26,4,0,0.0,2,0,100.0,0.0
Barrow,13013,33.99148694,-83.71436292,24,2020-03-27,6,0,0.0,2,0,50.0,0.0
Barrow,13013,33.99148694,-83.71436292,25,2020-03-28,7,1,14.29,1,1,16.67,0.0
Barrow,13013,33.99148694,-83.71436292,26,2020-03-29,7,1,14.29,0,0,0.0,0.0
Barrow,13013,33.99148694,-83.71436292,27,2020-03-30,7,1,14.29,0,0,0.0,0.0
Bartow,13015,34.23732119,-84.83887523,19,2020-03-22,56,1,1.79,0,0,0.0,0.0
Bartow,13015,34.23732119,-84.83887523,20,2020-03-23,61,1,1.64,5,0,8.93,0.0
Bartow,13015,34.23732119,-84.83887523,21,2020-03-24,74,1,1.35,13,0,21.31,0.0
Bartow,13015,34.23732119,-84.83887523,22,2020-03-25,78,1,1.28,4,0,5.41,0.0
Bartow,13015,34.23732119,-84.83887523,23,2020-03-26,86,1,1.16,8,0,10.26,0.0
Bartow,13015,34.23732119,-84.83887523,24,2020-03-27,98,1,1.02,12,0,13.95,0.0
Bartow,13015,34.23732119,-84.83887523,25,2020-03-28,116,1,0.86,18,0,18.37,0.0
Bartow,13015,34.23732119,-84.83887523,26,2020-03-29,119,1,0.84,3,0,2.59,0.0
Bartow,13015,34.23732119,-84.83887523,27,2020-03-30,121,1,0.83,2,0,1.68,0.0
Ben Hill,13017,31.76095874,-83.22145359,19,2020-03-22,0,0,0.0,0,0,0.0,0.0
Ben Hill,13017,31.76095874,-83.22145359,20,2020-03-23,0,0,0.0,0,0,0.0,0.0
Ben Hill,13017,31.76095874,-83.22145359,21,2020-03-24,1,0,0.0,1,0,0.0,0.0
Ben Hill,13017,31.76095874,-83.22145359,22,2020-03-25,1,0,0.0,0,0,0.0,0.0
Ben Hill,13017,31.76095874,-83.22145359,23,2020-03-26,1,0,0.0,0,0,0.0,0.0
Ben Hill,13017,31.76095874,-83.22145359,24,2020-03-27,2,0,0.0,1,0,100.0,0.0
Ben Hill,13017,31.76095874,-83.22145359,25,2020-03-28,2,0,0.0,0,0,0.0,0.0
Ben Hill,13017,31.76095874,-83.22145359,26,2020-03-29,2,0,0.0,0,0,0.0,0.0
Ben Hill,13017,31.76095874,-83.22145359,27,2020-03-30,2,0,0.0,0,0,0.0,0.0
Berrien,13019,31.27590016,-83.22529920000002,20,2020-03-23,0,0,0.0,0,0,0.0,0.0
Berrien,13019,31.27590016,-83.22529920000002,21,2020-03-24,0,0,0.0,0,0,0.0,0.0
Berrien,13019,31.27590016,-83.22529920000002,22,2020-03-25,0,0,0.0,0,0,0.0,0.0
Berrien,13019,31.27590016,-83.22529920000002,23,2020-03-26,0,0,0.0,0,0,0.0,0.0
Berrien,13019,31.27590016,-83.22529920000002,24,2020-03-27,0,0,0.0,0,0,0.0,0.0
Berrien,13019,31.27590016,-83.22529920000002,25,2020-03-28,0,0,0.0,0,0,0.0,0.0
Berrien,13019,31.27590016,-83.22529920000002,26,2020-03-29,0,0,0.0,0,0,0.0,0.0
Berrien,13019,31.27590016,-83.22529920000002,27,2020-03-30,1,0,0.0,1,0,0.0,0.0
Berrien,13019,31.27590016,-83.22529920000001,19,2020-03-22,0,0,0.0,-1,0,-100.0,0.0
Bibb,13021,32.80904227,-83.70489165,19,2020-03-22,1,0,0.0,0,0,0.0,0.0
Bibb,13021,32.80904227,-83.70489165,20,2020-03-23,2,0,0.0,1,0,100.0,0.0
Bibb,13021,32.80904227,-83.70489165,21,2020-03-24,4,0,0.0,2,0,100.0,0.0
Bibb,13021,32.80904227,-83.70489165,22,2020-03-25,6,0,0.0,2,0,50.0,0.0
Bibb,13021,32.80904227,-83.70489165,23,2020-03-26,8,0,0.0,2,0,33.33,0.0
Bibb,13021,32.80904227,-83.70489165,24,2020-03-27,10,0,0.0,2,0,25.0,0.0
Bibb,13021,32.80904227,-83.70489165,25,2020-03-28,11,0,0.0,1,0,10.0,0.0
Bibb,13021,32.80904227,-83.70489165,26,2020-03-29,13,0,0.0,2,0,18.18,0.0
Bibb,13021,32.80904227,-83.70489165,27,2020-03-30,15,0,0.0,2,0,15.38,0.0
Bleckley,13023,32.43829035,-83.33035166,19,2020-03-22,0,0,0.0,0,0,0.0,0.0
Bleckley,13023,32.43829035,-83.33035166,20,2020-03-23,0,0,0.0,0,0,0.0,0.0
Bleckley,13023,32.43829035,-83.33035166,21,2020-03-24,0,0,0.0,0,0,0.0,0.0
Bleckley,13023,32.43829035,-83.33035166,22,2020-03-25,0,0,0.0,0,0,0.0,0.0
Bleckley,13023,32.43829035,-83.33035166,23,2020-03-26,0,0,0.0,0,0,0.0,0.0
Bleckley,13023,32.43829035,-83.33035166,24,2020-03-27,0,0,0.0,0,0,0.0,0.0
Bleckley,13023,32.43829035,-83.33035166,25,2020-03-28,0,0,0.0,0,0,0.0,0.0
Bleckley,13023,32.43829035,-83.33035166,26,2020-03-29,0,0,0.0,0,0,0.0,0.0
Bleckley,13023,32.43829035,-83.33035166,27,2020-03-30,0,0,0.0,0,0,0.0,0.0
Brantley,13025,31.19576557,-81.97743999,19,2020-03-22,0,0,0.0,0,0,0.0,0.0
Brantley,13025,31.19576557,-81.97743999,20,2020-03-23,0,0,0.0,0,0,0.0,0.0
Brantley,13025,31.19576557,-81.97743999,21,2020-03-24,0,0,0.0,0,0,0.0,0.0
Brantley,13025,31.19576557,-81.97743999,22,2020-03-25,0,0,0.0,0,0,0.0,0.0
Brantley,13025,31.19576557,-81.97743999,23,2020-03-26,0,0,0.0,0,0,0.0,0.0
Brantley,13025,31.19576557,-81.97743999,24,2020-03-27,0,0,0.0,0,0,0.0,0.0
Brantley,13025,31.19576557,-81.97743999,25,2020-03-28,0,0,0.0,0,0,0.0,0.0
Brantley,13025,31.19576557,-81.97743999,26,2020-03-29,0,0,0.0,0,0,0.0,0.0
Brantley,13025,31.19576557,-81.97743999,27,2020-03-30,0,0,0.0,0,0,0.0,0.0
Brooks,13027,30.83922642,-83.58303423,19,2020-03-22,0,0,0.0,0,0,0.0,0.0
Brooks,13027,30.83922642,-83.58303423,20,2020-03-23,0,0,0.0,0,0,0.0,0.0
Brooks,13027,30.83922642,-83.58303423,21,2020-03-24,0,0,0.0,0,0,0.0,0.0
Brooks,13027,30.83922642,-83.58303423,22,2020-03-25,0,0,0.0,0,0,0.0,0.0
Brooks,13027,30.83922642,-83.58303423,23,2020-03-26,0,0,0.0,0,0,0.0,0.0
Brooks,13027,30.83922642,-83.58303423,24,2020-03-27,0,0,0.0,0,0,0.0,0.0
